,Company,0217price,0217amt,0517price,0517amt,0817price,0817amt,1117price,1117amt,0217-0517chng,0517-0817chng
1464,IHS MARKIT LTD,35.4099359315,1628413,41.9496828405,1727522,44.0397648649,2881237,44.0798754773,3209696,99109,1153715
1465,II VI INC,29.6480985973,246660,36.0508703504,131786,34.3003186922,641685,41.149935512,1249844,-114874,509899
1466,IKANG HEALTHCARE GROUP INC,17.3300490028,4386485,14.5999674182,4382818,12.2699764191,4385746,13.4800542069,4395012,-3667,2928
1467,ILG INC,18.1702584672,743963,20.9600063906,325477,27.4889863082,370221,26.7300966758,594461,-418486,44744
1468,ILLINOIS TOOL WKS INC,122.459352049,1241514,132.470159953,1231734,143.249465972,1707776,147.960214446,1707655,-9780,476042
1469,ILLUMINA INC,128.041225707,958043,170.640876515,1385852,173.519947089,1439408,199.199662054,1576584,427809,53556
1470,IMAX CORP,31.4000919504,306687,33.9995297018,1122692,22.0001625084,1267627,22.6500621214,618144,816005,144935
1471,IMMERSION CORP,10.6377038195,35816,8.65365264641,34783,9.09240742776,36404,8.17265007854,43927,-1033,1621
1472,IMMUNOGEN INC,2.04061135441,627263,3.86886961722,588544,7.1095964605,568668,7.65372045299,131570,-38719,-19876
1473,IMMUNOMEDICS INC,3.67025032306,150126,6.47119610434,417079,8.8307590266,907623,13.9801372607,921021,266953,490544
1474,IMPAX LABORATORIES INC,13.251315154,345777,12.6510062922,240139,16.0988481376,727257,20.3000559559,1994428,-105638,487118
1475,IMPERIAL OIL LTD,34.7592429947,881262,30.5006521521,707657,29.1802159501,278305,31.9392818916,256925,-173605,-429352
1476,IMPERVA INC,38.4000666212,624426,41.0506069553,676409,47.8510737602,711332,43.4026333776,276527,51983,34923
1477,INC RESH HLDGS INC,52.5971179509,180219,45.8501912516,597642,58.4988669064,300946,52.3002813715,580016,417423,-296696
1478,INCYTE CORP,100.270660348,1416905,133.670227796,2013687,125.909597506,1741567,116.739774515,1777055,596782,-272120
1479,INDEPENDENCE CONTRACT DRIL I,6.72795097256,15012,5.51432790624,53497,3.88982686132,60414,3.8026507529,72055,38485,6917
1480,INDEPENDENCE RLTY TR INC,8.92096790944,96290,9.36776013162,119132,9.86747369067,211807,10.1711128438,401431,22842,92675
1481,INDEPENDENT BANK CORP MASS,70.4493538756,915381,64.999944207,896170,66.6504248537,870182,74.6506258355,905190,-19211,-25988
1482,INDEPENDENT BANK CORP MICH,21.7038733066,41928,20.6988947192,44785,21.7509025271,33240,22.6600152194,35481,2857,-11545
1483,INDEPENDENT BK GROUP INC,62.4000430067,446442,64.3006775979,463992,59.5009596929,525689,60.2995650105,706224,17550,61697
1484,INFINERA CORPORATION,8.48973308279,353368,10.2310547437,365065,10.6688545252,656959,8.87116655645,511094,11697,291894
1485,INFINITY PHARMACEUTICALS INC,1.34830198219,213602,3.23298066607,140737,1.57167572309,246234,1.33073459238,74395,-72865,105497
1486,INFINITY PPTY & CAS CORP,87.9072667236,43307,95.5163854589,31827,94.0229964435,28961,94.2035153424,46994,-11480,-2866
1487,INFORMATION SERVICES GROUP I,3.64057060372,94216,3.14401129119,102735,4.13372264689,30481,4.01969651291,49755,8519,-72254
1488,INFOSYS LTD,14.8301041607,2903014,15.8000908483,3355044,15.0202278447,3264065,14.5899598073,3157788,452030,-90979
1489,INFRAREIT INC,17.909596827,1255863,18.000167524,346219,19.1505620088,234249,22.3731196921,270235,-909644,-111970
1490,ING GROEP N V,14.1000413601,1196805,15.0900344165,1314775,17.3905311713,1383339,18.4201579087,1588260,117970,68564
1491,INGERSOLL-RAND PLC,75.0392109432,1794142,81.3199002752,1671399,91.3896903,1838424,89.1700959322,2139428,-122743,167025
1492,INGEVITY CORP,54.8594151986,306292,60.8577933666,113757,57.4030817146,97608,62.4687951649,152220,-192535,-16149
1493,INGREDION INC,124.95902609,1162325,120.4291319,983101,119.209636221,999894,120.640446338,1116284,-179224,16793
1494,INNERWORKINGS INC,9.85190364203,94398,9.96500552052,106874,11.5929413627,101096,11.246638494,104120,12476,-5778
1495,INNOPHOS HOLDINGS INC,52.2634553485,213744,53.9692856123,203097,43.8406925329,321140,49.1908012834,353745,-10647,118043
1496,INNOSPEC INC,68.5024301851,59049,64.7545021621,36538,65.5731065209,24690,61.6534187688,98632,-22511,-11848
1497,INNOVIVA INC,10.6994814004,445816,13.8292520056,546595,12.7995547981,661273,14.1200685292,1011539,100779,114678
1498,INOGEN INC,67.1557213213,48529,77.5609063368,126752,95.4132596081,128043,95.0975763299,127080,78223,1291
1499,INOVALON HLDGS INC,10.2989744481,253132,12.5984718481,472597,13.1504416332,481961,17.0492179267,505771,219465,9364
1500,INOVIO PHARMACEUTICALS INC,6.93780118193,111851,6.61722760981,78885,7.84102826104,185945,6.33227614372,92068,-32966,107060
1501,INPHI CORP,44.6048568806,23966,48.8150923319,45109,34.2976521535,144558,39.7021631321,70777,21143,99449
1502,INSEEGO CORP,2.45213301982,29770,2.09044625859,696502,1.25046571283,700539,1.51039682433,963323,666732,4037
1503,INSIGHT ENTERPRISES INC,40.440484171,132763,41.095890411,104171,39.9812679272,85415,45.9156570763,116714,-28592,-18756
1504,INSMED INC,13.2300037585,279365,17.5104524568,289884,17.1613128492,171840,31.2098702564,361328,10519,-118044
1505,INSPERITY INC,70.9484343853,194141,88.6543188563,121641,71.0011346504,64337,87.9949634721,76243,-72500,-57304
1506,INSTALLED BLDG PRODS INC,41.3008396926,109683,52.7462202101,93656,52.9521768135,91441,64.8009913839,102483,-16027,-2215
1507,INSTEEL INDUSTRIES INC,35.6420326074,50418,36.1445783133,27224,32.9648945279,25694,26.1037176779,48767,-23194,-1530
1508,INSULET CORP,37.6782832109,242872,43.0888568135,192602,51.3104158932,131981,55.0813113284,57987,-50270,-60621
1509,INSYS THERAPEUTICS INC NEW,9.20086100491,265736,10.5089862646,226568,12.6443220592,137453,8.88380815756,133839,-39168,-89115
1510,INTEGER HLDGS CORP,29.4577445361,65246,40.1907465591,62701,43.2376550718,16444,51.1447866908,121420,-2545,-46257
1511,INTEGRA LIFESCIENCES HLDGS C,85.7894424165,605972,42.1298005654,1088778,54.5101565717,1189870,50.4808156742,1138690,482806,101092
1512,INTEGRATED DEVICE TECHNOLOGY,23.5598013074,744064,23.6716308145,217560,25.7893266942,418933,26.5797648987,703016,-526504,201373
1513,INTEL CORP,36.2699737822,23870792,36.0699949781,23003136,33.740022272,25051169,38.0799826486,26298804,-867656,2048033
1514,INTELLIA THERAPEUTICS INC,13.1097767097,162703,14.0786240786,40700,15.99884693,48566,24.8404455012,31964,-122003,7866
1515,INTELLIGENT SYS CORP NEW,4.23197492163,25520,4.40708397943,24506,3.48802586244,23509,3.83637045995,23981,-1014,-997
1516,INTELSAT S A,2.66436799624,12761,4.14743907555,104884,3.0814380044,20445,4.69901968727,135773,92123,-84439
1517,INTER PARFUMS INC,32.7556970925,48358,36.5601287652,39141,36.6338770853,32429,41.2478005265,146626,-9217,-6712
1518,INTERACTIVE BROKERS GROUP IN,36.5094421386,415372,34.7196782833,368523,37.4220187065,333253,45.0394897169,405422,-46849,-35270
1519,INTERCEPT PHARMACEUTICALS IN,108.641317709,48812,113.100343053,130592,121.068176755,139153,58.0403982311,128669,81780,8561
1520,INTERCONTINENTAL EXCHANGE IN,56.4199381839,11385390,59.8700789868,11350127,65.9200404156,11773673,68.7000129838,10952094,-35263,423546
1521,INTERCONTINENTAL HOTELS GROU,44.3279780564,61248,48.9297117063,63581,55.5268446741,69660,52.879015395,71257,2333,6079
1522,INTERDIGITAL INC,91.3499426554,752469,86.2996264473,726805,77.3002919312,740243,73.7487027003,628228,-25664,13438
1523,INTERFACE INC,18.5491813036,277209,19.0465705163,163494,19.6496979169,104938,21.898834432,320702,-113715,-58556
1524,INTERNAP CORP,1.54004279769,296745,3.71903661856,437210,3.67210281888,138885,4.34207704953,55964,140465,-298325
1525,INTERNATIONAL BANCSHARES COR,40.8015739041,243471,35.3991667388,207858,35.0514881757,247921,40.1014485265,464472,-35613,40063
1526,INTERNATIONAL BUSINESS MACHS,165.990250473,3459655,174.139758859,4070225,153.83006324,4316900,145.080184693,5821560,610570,246675
1527,INTERNATIONAL FLAVORS&FRAGRA,117.828262037,286646,132.529854291,271569,134.997976738,269367,142.909569963,212540,-15077,-2202
1528,INTERNATIONAL GAME TECHNOLOG,25.5199898699,3972337,23.7002531958,3894220,18.2999493745,4280449,24.5501384825,3023486,-78117,386229
1529,INTERNATIONAL SPEEDWAY CORP,36.8011225587,289339,36.9504747332,452254,37.5523364652,338674,36.0007135087,285911,162915,-113580
1530,INTERPUBLIC GROUP COS INC,23.4100905958,5241415,24.5699126134,7044673,24.5999380673,8547989,20.78998208,9720980,1803258,1503316
1531,INTERSECT ENT INC,12.1008727349,114124,17.1456897641,102883,27.9549551734,123699,31.1405647413,90236,-11241,20816
1532,INTERXION HOLDING N.V,35.0701003311,928027,39.5600748191,867693,45.7802543298,889947,50.9298677743,811567,-60334,22254
1533,INTL FCSTONE INC,39.6069795019,29515,37.9717256689,34236,37.8076630297,7882,38.323906268,77967,4721,-26354
1534,INTL PAPER CO,53.0602079289,2641961,50.780123745,2445189,56.610082449,1958909,56.8197530111,2097422,-196772,-486280
1535,INTRA CELLULAR THERAPIES INC,15.0900360144,83300,16.2481979817,133184,12.4197186494,580770,15.7804097986,227624,49884,447586
1536,INTREPID POTASH INC,2.09304790165,37744,1.72082782185,482326,2.25846925972,39850,4.35404866053,49609,444582,-442476
1537,INTREXON CORP,24.2994382209,90249,19.8161021409,144428,24.0863569631,152576,19.0067953604,168203,54179,8148
1538,INTUIT,114.610021747,3887845,115.989768304,3534898,132.810033255,3629530,142.140220505,3456242,-352947,94632
1539,INTUITIVE SURGICAL INC,634.168855051,279506,766.47004801,1339310,935.369641431,850297,1045.88032639,631033,1059804,-489013
1540,INVACARE CORP,13.0489669031,232892,11.8977465586,169696,13.199751261,723650,15.7500029543,1353968,-63196,553954
1541,INVESCO LTD,30.3400143983,5853458,30.6298758789,5087288,35.1897123219,3924073,35.0398089712,4422370,-766170,-1163215
1542,INVESCO MORTGAGE CAPITAL INC,14.5992930527,1047037,15.420101089,969838,16.7101732795,990654,17.1290312311,785275,-77199,20816
1543,INVESTMENT TECHNOLOGY GRP NE,19.7431755511,122574,20.2516456092,115003,21.2418603788,107806,22.1384114879,360866,-7571,-7197
1544,INVESTORS BANCORP INC NEW,13.9506868479,977873,14.3803505295,662084,13.3592961161,733871,13.6396452515,1393438,-315789,71787
1545,INVESTORS REAL ESTATE TR,7.13097460034,98584,5.92825139443,131236,6.20821026167,129667,6.10627421517,135762,32652,-1569
1546,INVITAE CORP,7.93914903732,21035,11.0692188708,20688,9.56179652497,54906,9.37370766898,43526,-347,34218
1547,INVIVO THERAPEUTICS HLDGS CO,4.19647114926,104850,4.04739987434,68439,2.70144276169,167318,1.45450627593,74252,-36411,98879
1548,ION GEOPHYSICAL CORP,6.00196910027,105632,4.85386581911,57892,4.33688286544,25825,9.50987564009,12303,-47740,-32067
1549,IONIS PHARMACEUTICALS INC,47.8301860913,692617,40.20005726,736989,50.8696803573,1465136,50.7002075457,1686857,44372,728147
1550,IPG PHOTONICS CORP,98.7119529719,191375,120.7022641,201007,145.096835886,280268,185.061167914,256834,9632,79261
1551,IRHYTHM TECHNOLOGIES INC,30.0183445439,17989,37.5985008649,83248,42.4742761426,16716,51.8741103906,18969,65259,-66532
1552,IRIDIUM COMMUNICATIONS INC,9.59941816397,228243,9.64811398668,129559,11.0547136071,55361,10.2986873624,196627,-98684,-74198
1553,IROBOT CORP,58.4504971667,149648,66.1409924323,157512,84.1415934073,290748,77.0609027088,245572,7864,133236
1554,IRON MTN INC NEW,32.4798861021,5207469,35.6699013877,5157065,34.360025805,6959890,38.9000002536,7096838,-50404,1802825
1555,IRONWOOD PHARMACEUTICALS INC,15.2900788883,1109543,17.0605212582,1049499,18.8801651185,798457,15.7693426085,178828,-60044,-251042
1556,IRSA INVERSIONES Y REP S A,18.4420113417,127318,24.5134230824,127318,24.1207056347,127318,24.5526948271,127318,0,0
1557,ISHARES,34.865200362,1058534,37.344174832,1169580,39.9936005641,2087684,28.3518930958,44900,111046,918104
1558,ISHARES GOLD TRUST,11.0817405449,186884,12.0065207828,115937,11.9397003878,84843,12.3050811499,84843,-70947,-31094
1559,ISHARES INC,39.4289979212,29244517,43.8349351739,22395904,45.1058659472,30312155,46.3381960806,30006563,-6848613,7916251
1560,ISHARES SILVER TRUST,15.1098778824,786373,17.2488326697,744862,15.7102828048,911123,15.739841176,568176,-41511,166261
1561,ISHARES TR,72.6383954951,185734857,73.5200914768,209590218,80.5492040172,206355956,84.5356176923,204747389,23855361,-3234262
1562,ISRAEL CHEMICALS LTD,4.11007588847,8415903,4.25998464712,10041116,4.72995864959,7691822,4.43999483286,8492127,1625213,-2349294
1563,ISTAR INC,12.3699547053,2938976,11.8000265161,2866180,12.0397396768,1921304,11.7996329637,1402586,-72796,-944876
1564,ITAU UNIBANCO HLDG SA,10.2798072027,3090914,12.0700447248,6270565,11.0500420406,9130463,13.700028448,8091954,3179651,2859898
1565,ITRON INC,62.84644734,152801,60.7060073844,109149,67.7497269763,125447,77.449397989,199498,-43652,16298
1566,ITT INC,38.5697423423,2300145,41.0201925738,2475415,40.1798391121,2278481,44.2696098463,2354098,175270,-196934
1567,IXYS CORP,11.9213313162,16525,14.5468732583,17942,16.4444291704,58196,23.7001666242,1153494,1417,40254
1568,J & J SNACK FOODS CORP,133.431942486,29071,135.578151914,17997,132.073568474,29741,131.306936655,89683,-11074,11744
1569,J2 GLOBAL INC,81.7999796827,305159,83.9057454701,187365,85.0856147669,194651,73.8825372076,283477,-117794,7286
1570,JA SOLAR HOLDINGS CO LTD,4.76129578074,101653,6.54231708549,168289,6.34899268632,44574,7.63159854069,26862,66636,-123715
1571,JACK IN THE BOX INC,111.640137875,1090262,101.720122131,1179393,98.4999831896,565127,101.916150984,100514,89131,-614266
1572,JACOBS ENGR GROUP INC DEL,56.9998526792,2932376,55.27993257,2707402,54.3902141458,2057337,58.2698723175,1797035,-224974,-650065
1573,JAMBA INC,10.302778175,153842,9.05016548684,150163,7.79060568272,149154,8.63823139433,152346,-3679,-1009
1574,JAMES HARDIE INDS PLC,15.9008464329,33080,15.8100558659,35800,15.7669763751,39069,14.0519214846,41062,2720,3269
1575,JAMES RIV GROUP LTD,41.5823623805,14333,42.870157012,18661,39.7301788573,853306,41.4808788711,904706,4328,834645
1576,JANUS DETROIT STR TR,30.6313036982,34801,32.9142011834,37856,33.5060096461,39187,34.3207457099,39801,3055,1331
1577,JAZZ PHARMACEUTICALS PLC,109.031188984,372343,145.129808278,320203,155.503614523,221191,146.250571051,584449,-52140,-99012
1578,JD COM INC,25.4399724664,3527323,31.1099130538,4329231,39.2200902228,4603712,38.2001677583,3997417,801908,274481
1579,JETBLUE AIRWAYS CORP,22.4199735915,12735296,20.609990999,16596999,22.8299850527,13597775,18.5299878492,11226397,3861703,-2999224
1580,JETPAY CORP,2.23285486443,15675,2.33413269384,31275,2.11262956361,15147,1.88579618315,13257,15600,-16128
1581,JINKOSOLAR HLDG CO LTD,15.3036037519,6077,16.5786792628,21594,20.8300948236,6433,24.9217433181,8306,15517,-15161
1582,JOHN BEAN TECHNOLOGIES CORP,85.9496663429,887438,87.9490689448,843022,98.0008046414,797871,101.100663002,936799,-44416,-45151
1583,JOHNSON & JOHNSON,115.209973299,10352602,124.55006526,12129259,132.290031065,13877410,130.010018189,14207159,1776657,1748151
1584,JOHNSON CTLS INTL PLC,41.1903546908,2259461,42.1199346847,2283693,43.3596707749,2337610,40.290076506,3320917,24232,53917
1585,JOHNSON OUTDOORS INC,39.6808164152,18422,36.5740740741,6480,48.19079845,18323,73.2331853875,17574,-11942,11843
1586,JONES ENERGY INC,5.00451438153,38765,2.5516670328,177531,1.60083392279,107444,1.91814379145,129813,138766,-70087
1587,JONES LANG LASALLE INC,101.040064069,379592,111.451355089,334074,124.999666012,374265,123.501101768,456085,-45518,40191
1588,JPMORGAN CHASE & CO,84.6431666439,20378420,85.2957251486,21688754,83.6876969849,22871044,86.6665283098,23851365,1310334,1182290
1589,JRJR33 INC,0.752706849632,17271,0.464317221526,21537,0.535857819059,22394,0.341296928328,11720,4266,857
1590,JUMEI INTL HLDG LTD,5.00945045263,140734,3.68827780008,159424,2.12846826302,65775,2.89656285299,123940,18690,-93649
1591,JUNIPER NETWORKS INC,28.2599862222,4459344,27.8300497589,6363086,27.8799717443,8842118,27.8300734111,6265129,1903742,2479032
1592,JUNO THERAPEUTICS INC,18.8495200167,148651,22.1908217617,859860,29.8899791441,867381,44.8604668087,920677,711209,7521
1593,JUST ENERGY GROUP INC,5.45877016465,269841,6.25897745038,346702,5.23698757236,306092,5.81152987911,285467,76861,-40610
1594,K12 INC,17.1582767852,327597,19.1497864845,270238,17.9204039516,323207,17.8406764808,305818,-57359,52969
1595,K2M GROUP HLDGS INC,20.0398678775,103843,20.5106991735,116037,24.3590046553,211585,21.2084772802,458213,12194,95548
1596,KADANT INC,61.2086045853,28264,59.3451568895,11728,75.2369380316,20575,98.5433357611,96110,-16536,8847
1597,KAISER ALUMINUM CORP,77.6896383163,413234,79.8989400408,393034,88.5207607757,331346,103.138813367,336178,-20200,-61688
1598,KAMAN CORP,48.9291934291,1131717,48.1294189102,1192036,49.8695884181,1002595,55.7801338746,703046,60319,-189441
1599,KANDI TECHNOLOGIES GROUP INC,4.91858887381,5896,3.78979282466,11874,4.44551657592,29018,5.74253107509,41271,5978,17144
1600,KANSAS CITY SOUTHERN,84.8500693844,596676,85.7603068517,345183,104.650128796,1394456,108.679982767,1220878,-251493,1049273
1601,KAPSTONE PAPER & PACKAGING C,22.0500554054,2702805,23.09995816,2433078,20.6301035748,1779390,21.490284725,1723523,-269727,-653688
1602,KAR AUCTION SVCS INC,42.6191800771,587787,43.6690182656,687192,41.9702101124,803427,47.7409831203,883371,99405,116235
1603,KARYOPHARM THERAPEUTICS INC,9.40001179918,101702,12.8443128794,79724,9.05747028682,47033,10.9849282326,80747,-21978,-32691
1604,KB FINANCIAL GROUP INC,35.2863715433,123022,43.9718436424,133540,50.4917897573,145489,49.0319968164,143233,10518,11949
1605,KB HOME,15.8098897877,2094322,19.8803089832,1837899,23.9703436198,1546244,24.120079721,2007000,-256423,-291655
1606,KBR INC,16.6897029961,637399,15.030110716,752556,15.2202707788,1687355,17.8802958038,2032293,115157,934799
1607,KEARNY FINL CORP MD,15.5505170602,90415,15.0478011472,156900,14.846036309,154452,15.3459402671,186564,66485,-2448
1608,KELLOGG CO,73.7100628206,1579418,72.61000075,1146674,69.4604412795,2773118,62.3702290961,2631079,-432744,1626444
1609,KELLY SVCS INC,22.9118886491,88513,21.8570734079,51425,22.4499109364,67929,25.0898252491,195936,-37088,16504
1610,KEMET CORP,6.63129973475,93496,11.999219563,276768,12.8050253684,74502,21.1294945328,296221,183272,-202266
1611,KEMPER CORP DEL,44.2975594493,127840,39.9071873486,88781,38.6038630973,73775,52.9970259945,80363,-39059,-15006
1612,KENNAMETAL INC,31.2605997268,218166,39.2289668806,363201,37.4194882177,841647,40.3401691329,1534178,145035,478446
1613,KENNEDY-WILSON HLDGS INC,20.4998163007,3503007,22.2001568201,3452363,19.0501623251,3287846,18.5499374766,3249984,-50644,-164517
1614,KERYX BIOPHARMACEUTICALS INC,5.86061938135,656074,6.15951961937,678462,7.22939360307,685673,7.09975100734,708053,22388,7211
1615,KEY ENERGY SVCS INC DEL,31.950104887,958651,23.2200449755,925838,19.2400233919,926818,13.1701571492,967870,-32813,980
1616,KEYCORP NEW,18.2700121722,8502950,17.780037807,7008759,18.7400851647,5853602,18.819757464,6064584,-1494191,-1155157
1617,KEYSIGHT TECHNOLOGIES INC,36.5702908174,544431,36.1386115843,652211,38.9287129339,411393,41.6609792018,556780,107780,-240818
1618,KEYW HLDG CORP,11.7967907655,31534,9.43902753318,186248,9.35254575634,181341,7.60959362815,613699,154714,-4907
1619,KFORCE INC,23.0824501527,11134,23.7678159089,25118,19.5774532996,12259,20.1836451836,11544,13984,-12859
1620,KILROY RLTY CORP,73.220318812,604996,72.0798053735,941290,75.1502081934,1301194,71.1203656953,1037804,336294,359904
1621,KIMBALL ELECTRONICS INC,18.198039647,163644,16.9530224328,157671,18.0468607943,153988,21.6474969765,197621,-5973,-3683
1622,KIMBALL INTL INC,17.5579611504,231405,16.5003478676,288903,16.6888858991,490566,19.7699958422,459383,57498,201663
1623,KIMBERLY CLARK CORP,114.119967499,3190064,131.63028691,3343068,129.109748995,3258654,117.68005922,3821701,153004,-84414
1624,KIMCO RLTY CORP,25.1600012002,2632949,22.090230246,3398018,18.3497809408,4289479,19.5500338228,3811042,765069,891461
1625,KINDER MORGAN INC DEL,20.6177971392,24702251,21.6536549244,27847539,19.1600040768,27188251,19.1851700698,30099238,3145288,-659288
1626,KINDRED BIOSCIENCES INC,4.25727764354,17382,7.02901146132,22336,8.57511283043,15510,7.84762527589,48932,4954,-6826
1627,KINDRED HEALTHCARE INC,7.85039382197,844671,8.35062713337,866881,11.6496473061,1753787,6.80005256717,3028506,22210,886906
1628,KINROSS GOLD CORP,3.10981600856,4161661,3.51018334584,2543172,4.06980714352,2225904,4.23983428208,3065450,-1618489,-317268
1629,KINSALE CAP GROUP INC,34.0093550818,707423,32.0400518351,706085,37.3104317286,895192,43.1694844855,881178,-1338,189107
1630,KIRBY CORP,66.5000973318,467473,70.549630845,341320,66.8473647737,243869,65.9506794994,121045,-126153,-97451
1631,KIRKLANDS INC,15.5049686377,42567,12.4051504011,55219,10.2654920382,66631,11.4303312948,113645,12652,11412
1632,KITE PHARMA INC,44.8340378352,86586,78.492502711,213944,103.670815624,395280,179.809790695,806480,127358,181336
1633,KITE RLTY GROUP TR,23.4813708429,364885,21.4994575702,561363,18.9301679939,895449,20.2501435324,1220979,196478,334086
1634,KKR & CO L P DEL,15.3900710179,4435782,18.2300119242,4646020,18.5999901633,2439840,20.329994675,3113626,210238,-2206180
1635,KLA-TENCOR CORP,78.6793928918,1403506,95.0712102006,683961,91.5097347674,821694,105.999900095,960916,-719545,137733
1636,KLONDEX MNS LTD,4.67083501466,740981,3.89088822824,287595,3.37071727878,162280,3.63579759615,89939,-453386,-125315
1637,KLX INC,45.1097556431,1609940,44.7000360678,2620065,49.99985585,2428027,52.92990684,2446972,1010125,-192038
1638,KMG CHEMICALS INC,38.8985566588,9769,46.0568992679,10791,48.6680327869,9760,54.8587181254,14510,1022,-1031
1639,KNOLL INC,27.9287050294,337359,23.8127607204,139757,20.0463683425,157435,20.0035871412,189566,-197602,17678
1640,KNOT OFFSHORE PARTNERS LP,23.5998330209,1674461,23.2997321021,1652122,22.9501916417,1623603,23.4998174471,1615970,-22339,-28519
1641,KNOWLES CORP,16.709419018,222210,18.950506891,356191,16.9200692343,803070,15.2699310564,723055,133981,446879
1642,KOHLS CORP,49.3801910114,2249080,39.8101967764,2409232,38.6699119358,1891574,45.6499167401,2297025,160152,-517658
1643,KONINKLIJKE PHILIPS N V,30.5703948721,277229,32.1126069579,277212,35.8201163808,390786,41.1989681439,345397,-17,113574
1644,KOPIN CORP,2.84060010876,312610,4.10091910529,104123,3.73222468937,21167,4.17343280538,127473,-208487,-82956
1645,KOPPERS HOLDINGS INC,40.2979063178,141521,42.3463833123,114815,36.1412988003,146951,46.1521187717,195939,-26706,32136
1646,KOREA ELECTRIC PWR,18.4772962763,201707,20.7271199052,290296,17.9714599961,283672,16.7604791338,326005,88589,-6624
1647,KORN FERRY INTL,29.4299595008,121237,31.4868531861,128244,34.5282700669,136381,39.4311028212,214450,7007,8137
1648,KORNIT DIGITAL LTD,12.650415954,1056487,19.1001203463,747011,19.3500514029,611833,15.2998996138,611638,-309476,-135178
1649,KOSMOS ENERGY LTD,7.00973241584,1571244,6.6598282764,3683128,6.41009880705,3782625,7.9601744548,1742801,2111884,99497
1650,KRAFT HEINZ CO,87.3202167497,3738321,90.8099552466,4145834,85.6400303755,3971624,77.5498516799,4931228,407513,-174210
1651,KRATON CORPORATION,28.4840115886,110799,30.9312638581,27060,34.434194775,99407,40.4383134943,143824,-83739,72347
1652,KRATOS DEFENSE & SEC SOLUTIO,7.40543420352,18770,7.78324708654,23769,11.8720884042,110764,13.0874873681,60363,4999,86995
1653,KROGER CO,34.5101257582,4586422,29.4898177337,3634407,23.3199684512,4797648,20.059970451,6946421,-952015,1163241
1654,KRONOS WORLDWIDE INC,11.9424740064,102910,16.4341293265,14908,18.2240066743,38356,22.8539049958,10589,-88002,23448
1655,KT CORP,14.0892335513,575120,16.8303158663,591611,16.6401820632,653839,13.8694998941,883233,16491,62228
1656,KULICKE & SOFFA INDS INC,15.949726411,311416,20.3199629795,242028,19.0192507714,289391,21.5693591162,300148,-69388,47363
1657,KYOCERA CORP,49.7842315809,63494,56.1285291824,67969,58.274182511,74527,62.1702142934,83577,4475,6558
1658,L BRANDS INC,65.8398737886,3680809,47.100037033,2468066,53.8903962603,2080148,41.6097885114,3157334,-1212743,-387918
1659,LA QUINTA HLDGS INC,14.210222185,453406,13.5216763519,309577,14.769987929,1675086,17.5004382446,1294939,-143829,1365509
1660,LA Z BOY INC,31.0501631236,238163,27.0026232009,128469,32.4992453318,185512,26.9013770833,215528,-109694,57043
1661,LABORATORY CORP AMER HLDGS,128.380288094,1627524,143.469668892,1690657,154.140534536,1551889,150.969543524,1630819,63133,-138768
1662,LADDER CAP CORP,13.7239062965,117605,14.4448616848,119835,13.407521158,145217,13.7749900262,90236,2230,25382
1663,LADENBURG THALMAN FIN SVCS I,2.43958440962,34842,2.48463449719,38235,2.44453763463,97769,2.87705389681,125128,3393,59534
1664,LAKELAND BANCORP INC,19.4774570836,21204,19.6191259077,36495,18.8494162451,51991,20.3944456285,60997,15291,15496
1665,LAKELAND FINL CORP,47.3608234482,716985,43.1202992598,806256,45.8798000721,912929,48.7197820499,921679,89271,106673
1666,LAM RESEARCH CORP,105.7300286,4713240,128.359850121,5021913,141.429489327,1847387,185.039391931,2702457,308673,-3174526
1667,LAMAR ADVERTISING CO NEW,67.2399022966,2636961,74.7402288032,1886949,73.570060359,1630908,68.5300483405,1468334,-750012,-256041
1668,LAMB WESTON HLDGS INC,37.8501406978,1254817,42.0601630732,1244717,44.040671138,996874,46.8898349866,931076,-10100,-247843
1669,LANCASTER COLONY CORP,141.388955248,200928,128.839169618,178424,122.624295362,159479,120.117498951,119150,-22504,-18945
1670,LANDAUER INC,48.1192476991,19992,48.7354696827,25464,52.3063185845,42557,67.2838869404,38776,5472,17093
1671,LANDEC CORP,13.7911439437,45754,12.0045771351,48065,14.850263013,52659,12.9500174764,57220,2311,4594
1672,LANDS END INC NEW,15.1549738751,78852,21.4528267254,43584,14.8940579185,38606,13.213969053,34963,-35268,-4978
1673,LANDSTAR SYS INC,85.3012448921,168368,85.6487776517,213278,85.60200505,214259,99.6523013519,203337,44910,981
1674,LANNET INC,22.0539931805,95901,22.348398819,198135,20.4015863516,152047,18.4516521481,256454,102234,-46088
1675,LANTHEUS HLDGS INC,8.60796236519,39963,12.5013101047,171742,17.6482107015,163416,17.7987366424,320416,131779,-8326
1676,LAREDO PETROLEUM INC,14.1397748568,1891685,14.599739787,1819279,10.5200972853,3082481,12.9300949535,1761704,-72406,1263202
1677,LAS VEGAS SANDS CORP,53.4101220888,1576967,57.0700447106,2456017,63.8902807331,3131337,64.160094811,4266172,879050,675320
1678,LASALLE HOTEL PPTYS,30.470193155,5248375,28.9500224635,4527354,29.800014354,4834897,29.0200764004,4576418,-721021,307543
1679,LATAM AIRLS GROUP S A,8.18008080888,302442,12.6690416794,337121,11.069949062,159802,13.2533080989,191273,34679,-177319
