,Company,0214price,0214amt,0514price,0514amt,0814price,0814amt,1114price,1114amt,0214-0514chng,0514-0814chng,0814-1114chng
745,COVANTA HLDG CORP,17.75014390657428,700107,18.05182451995945,95669,20.608928219952066,259111,21.218356521246672,158919,-604438,163442,-100192
746,COVIDIEN PLC,68.10025030127919,3944846,73.66025996231511,3434267,90.179873230451,1960881,86.51036867703147,1371824,-510579,-1473386,-589057
747,COWEN GROUP INC NEW,3.9111682606016767,111987,4.4087573147303845,112957,4.226033657723534,92995,3.750574684830741,41327,970,-19962,-51668
748,CPFL ENERGIA S A,16.009726717197807,569154,16.330321165780173,714989,18.199865629266807,1153525,15.552794117260714,380639,145835,438536,-772886
749,CRACKER BARREL OLD CTRY STOR,110.07695009419204,62638,97.31422377453931,8303,99.50886184070039,9366,103.25555400307393,7157,-54335,1063,-2209
750,CRANE CO,67.24990878458135,1863720,71.14975538314322,3561488,74.35974643182739,2636924,63.20991071483087,982694,1697768,-924564,-1654230
751,CRAY INC,27.463568212817016,97511,37.329321916223094,43210,26.601941747572816,51500,26.219865794051856,24142,-54301,8290,-27358
752,CREDICORP LTD,132.72874082270437,133754,137.9178206267092,114822,155.46734661563409,183151,153.38858760530712,293190,-18932,68329,110039
753,CREDIT ACCEP CORP MICH,129.9807969275084,8332,142.12899431484018,5101,123.05113160100586,5965,126.04706820901475,5014,-3231,864,-951
754,CREDIT SUISSE GROUP,31.03882675707786,558043,32.38038358387235,709936,28.370023078499965,756115,27.63986318047423,862450,151893,46179,106335
755,CREDIT SUISSE NASSAU BRH,31.40845070422535,35500,14.476769431176727,115150,37.4609281077182,41590,35.89642221782961,25295,79650,-73560,-16295
756,CREE INC,62.51825883727725,314916,56.560337850392244,317537,49.94789590706743,208237,40.949240547879796,268088,2621,-109300,59851
757,CRESTWOOD EQUITY PARTNERS LP,13.829691311542128,410349,13.839617521934285,1066937,14.870152644283117,1744972,10.569837554157383,1045333,656588,678035,-699639
758,CRESTWOOD MIDSTREAM PARTNERS,24.89032684513559,1437225,22.53991426216529,1845393,22.06983055895773,3115656,22.669823099410763,3614629,408168,1270263,498973
759,CRH PLC,25.554224933757038,106049,28.187822281572533,124309,25.846386110586906,132475,22.80928581077169,155463,18260,8166,22988
760,CROCS INC,15.918472415029465,217546,15.596978981994814,97583,15.042629369188369,38823,12.581146566700195,109370,-119963,-58760,70547
761,CROSS CTRY HEALTHCARE INC,9.977983633115938,120365,8.065079254242022,28642,6.520614110746938,57970,9.288742967448156,60611,-91723,29328,2641
762,CROWN CASTLE INTL CORP,77.84296709298471,1193788,74.32660355556193,2089965,74.56843561709151,1711448,80.9477622939518,1682616,896177,-378517,-28832
763,CROWN HOLDINGS INC,44.56557786714871,214089,44.74027070332535,313923,49.76205556104335,172099,44.52015520174315,418552,99834,-141824,246453
764,CSG SYS INTL INC,29.393007738508835,105059,26.04166666666667,39360,26.11197167514937,18076,26.296018031555217,18634,-65699,-21284,558
765,CSS INDS INC,28.674148144913612,68703,27.001310288887506,64108,26.36974418824717,63406,24.246269804645443,52008,-4595,-702,-11398
766,CST BRANDS INC,36.72140938885654,462101,31.24210362633874,154343,34.496546039479114,162567,35.95278908649382,112008,-307758,8224,-50559
767,CSX CORP,28.7700946802251,3327622,28.96975268916061,2719250,30.80989865508523,2718834,32.06012189401281,2263934,-608372,-416,-454900
768,CTC MEDIA INC,13.90359091279212,49124,9.228776512493928,18529,11.007595537621649,33704,6.664927989799763,34509,-30595,15175,805
769,CTRIP COM INTL LTD,49.64283137311494,13859,50.420332502954,664355,64.03980624166276,508262,56.75924984383853,550712,650496,-156093,42450
770,CTS CORP,19.909969586691087,1595683,20.88007930165365,1561632,18.699870790035714,1574182,15.89024839085465,1513381,-34051,12550,-60801
771,CUBESMART,15.940052610403258,4046348,17.160119734597508,5437025,18.320124618925806,5741664,17.9800202764967,5546323,1390677,304639,-195341
772,CUBIC CORP,52.659911247967386,717054,51.069779959396925,683692,44.510640152863644,688195,46.8003994102789,659973,-33362,4503,-28222
773,CUBIST PHARMACEUTICALS INC,50.34539221204523,390860,56.837316907698536,409766,55.85194061341674,348833,53.58848768312414,362186,18906,-60933,13353
774,CULLEN FROST BANKERS INC,74.43020400817575,155582,77.53484395607309,150887,79.41961535829171,292220,76.50975016989368,173638,-4695,141333,-118582
775,CULP INC,20.44843049327355,16725,19.73453191937636,14239,17.420591138725975,17221,18.124449662459647,13628,-2486,2982,-3593
776,CUMMINS INC,140.9703547620459,927805,148.98947563404698,852973,154.29040169693755,844816,131.98056203413068,743905,-74832,-8157,-100911
777,CURIS INC,2.8217280923074513,127227,2.8212001646536757,99603,1.8614866448377223,149343,1.4068674928772915,141449,-27624,49740,-7894
778,CURRENCYSHARES AUSTRALIAN DL,89.43126814359766,326217,92.86640271889564,114164,94.42225200212877,155959,87.67938728696278,158247,-212053,41795,2288
779,CURRENCYSHARES CDN DLR TR,93.61208871012792,71604,89.98056575253727,92620,93.16939890710384,7320,88.77622030022863,20118,21016,-85300,12798
780,CURRENCYSHARES EURO TR,135.98907309721176,530800,136.03043619999158,549083,135.12013532775856,751361,124.47998857313948,728109,18283,202278,-23252
781,CURRENCYSHARES SWEDISH KRONA,154.55035002692517,5571,153.49462365591395,3720,148.50560398505604,3212,137.87737317149083,3213,-1851,-508,1
782,CURRENCYSHARES SWISS FRANC T,109.83313728052978,22953,110.7239306559805,22958,110.24122977850485,77022,102.27786996530395,26516,5,54064,-50506
783,CURRENCYSHS BRIT POUND STER,163.2837167343257,19953,164.17968295802487,25801,168.36938530905772,17521,159.07207953603978,1207,5848,-8280,-16314
784,CURRENCYSHS JAPANESE YEN TR,92.75303231067171,68677,94.5310566691413,84861,96.24588284534056,54953,88.80313871491083,154713,16184,-29908,99760
785,CURTISS WRIGHT CORP,62.23401154317029,137224,63.526964087287524,42297,65.5603670169276,66046,65.92133377471487,66458,-94927,23749,412
786,CVB FINL CORP,17.070841927310454,725799,15.899263232435851,530968,16.028531992098717,531053,14.349666346125824,549072,-194831,85,18019
787,CVENT INC,36.37770897832817,9044,36.12514783356628,9301,29.05170838662525,10946,25.377950186709203,55166,257,1645,44220
788,CVR ENERGY INC,43.43033423829426,770199,42.24991789878962,1102298,48.18972224256482,1379153,44.72982049277215,1959364,332099,276855,580211
789,CVR PARTNERS LP,16.468682505399567,33336,21.18942275569333,589681,18.68958393636138,680593,13.73056249744567,660643,556345,90912,-19950
790,CVR REFNG LP,22.620005250847868,1668302,23.279574223754192,2147419,25.00986527212591,2409969,23.279792610603586,2523562,479117,262550,113593
791,CYAN INC,5.293027906019349,34007,4.26931356134896,83620,4.028629573740534,72233,3.126298502146857,50539,49613,-11387,-21694
792,CYBERONICS INC,65.42758518298568,107768,65.25396703212114,90937,62.46777796872315,58190,51.15948095437421,119450,-16831,-32747,61260
793,CYCLACEL PHARMACEUTICALS INC,4.016884531590415,146880,3.6837867809020333,131658,3.0689191559010935,136856,3.0401995875358088,159529,-15222,5198,22673
794,CYPRESS SEMICONDUCTOR CORP,10.501108468971253,298159,10.271028727568128,338525,10.909684128958583,294234,9.874452500210127,321233,40366,-44291,26999
795,CYS INVTS INC,7.410174598411405,326578,8.259101849258986,282113,9.026142024172684,103588,8.240088438176901,490286,-44465,-178525,386698
796,CYTEC INDS INC,93.16468275400206,92578,97.61847678414448,75078,105.4249682859488,67005,47.289269380381185,245764,-17500,-8073,178759
797,CYTORI THERAPEUTICS INC,2.5854767529978155,22433,2.6975633485163395,22613,2.374043787918755,26537,0.6903534609720177,21728,180,3924,-4809
798,CYTRX CORP,6.257422124783045,21894,3.4779584383966613,11501,4.182208658302248,8847,2.52148407348325,19433,-10393,-2654,10586
799,D R HORTON INC,22.3198503511052,3145496,21.65018016480617,2039244,24.580147116360262,3105433,20.51992311589311,3181932,-1106252,1066189,76499
800,DAKTRONICS INC,15.67926727529835,169013,14.38517100339396,114910,11.921178992141162,120374,12.281785879808435,51784,-54103,5464,-68590
801,DANA HLDG CORP,19.622895875072558,160221,23.271350629105893,62867,24.41899060486989,503133,19.169995282913824,493949,-97354,440266,-9184
802,DANAHER CORP DEL,77.20010891905301,6434136,75.00014957581872,6351294,78.73017933084307,4376492,75.98018770063291,4075852,-82842,-1974802,-300640
803,DARDEN RESTAURANTS INC,54.36956787615053,506938,50.75962327851008,542045,46.27066133516245,521929,51.46119075150904,722972,35107,-20116,201043
804,DAVITA HEALTHCARE PARTNERS I,63.369796193637846,1720015,68.85005343670043,1068554,72.32010852081163,861033,73.14060250968316,926093,-651461,-207521,65060
805,DAWSON GEOPHYSICAL CO,33.843287794964425,35428,27.99622522805914,28611,28.62761411337594,26443,18.19685690653433,12090,-6817,-2168,-14353
806,DBX ETF TR,24.87578140545006,2120858,21.81358907393929,140142,26.59931018512876,164102,29.291165097026592,796998,-1980716,23960,632896
807,DCP MIDSTREAM PARTNERS LP,50.34993014234701,3739032,50.100006338133895,5948123,56.99999240658197,6584650,54.45000393840196,7046005,2209091,636527,461355
808,DCT INDUSTRIAL TRUST INC,7.130186171324433,2990525,7.879631010501558,3104587,8.210337093351347,3179772,7.509955049592026,3274720,114062,75185,94948
809,DDR CORP,15.369969163207626,10159617,16.480026273962732,9847011,17.630061854840726,9844662,16.72998641429395,9474664,-312606,-2349,-369998
810,DEALERTRACK TECHNOLOGIES INC,48.076530264860075,146870,49.19173950034804,51716,45.35823589421644,25486,43.418562363157314,53894,-95154,-26230,28408
811,DEAN FOODS CO NEW,17.19090266660898,624051,15.460644886456725,488272,17.59095140332309,156842,13.253806014309538,148712,-135779,-331430,-8130
812,DECKERS OUTDOOR CORP,84.45948117908002,1244360,79.73014959965404,952676,86.3329833988719,56201,97.17973951822395,112791,-291684,-896475,56590
813,DEERE & CO,91.33028730318348,1778052,90.79997413350542,1515474,90.55048018863931,1606452,81.98973057920018,742593,-262578,90978,-863859
814,DELEK LOGISTICS PARTNERS LP,31.64961183973492,1623685,33.30035389474485,1576740,34.450058267310084,1534308,40.7097277584149,1509762,-46945,-42432,-24546
815,DELEK US HLDGS INC,34.408859492624345,551544,29.039698244492254,1007173,28.229931470139817,960895,33.1199869871426,971347,455629,-46278,10452
816,DELHAIZE GROUP,59.39791742636036,24681,72.66960281223483,49498,16.85872812633376,154638,17.289406722914155,149340,24817,105140,-5298
817,DELIA'S INC NEW,0.8813415277111089,127079,0.8415809910969592,203189,0.7688381710157824,305656,0.26723003463906303,198331,76110,102467,-107325
818,DELPHI AUTOMOTIVE PLC,60.130015063672936,4098602,67.85994798421261,3558535,68.7397110600737,1641933,61.340698961477955,888089,-540067,-1916602,-753844
819,DELTA AIR LINES INC DEL,27.469842580506924,7019334,34.6501066222048,4265528,38.72014548009035,2311794,36.15014935502281,3112048,-2753806,-1953734,800254
820,DELTA APPAREL INC,16.95130467906799,15751,16.366311143802868,27190,14.326965792980895,27012,9.087874179309322,26959,11439,-178,-53
821,DELTIC TIMBER CORP,67.92960430445018,26763,65.29651038321559,4671,60.439560439560445,8372,62.294129044758776,10322,-22092,3701,1950
822,DELUXE CORP,52.18929988931893,141849,52.4680732471024,121998,58.58034321372854,102560,55.157284152599104,134470,-19851,-19438,31910
823,DEMAND MEDIA INC,5.769943186853896,5833333,4.8500574200032815,5833333,4.820114852055805,5850483,8.849833339089459,1187141,0,17150,-4663342
824,DEMANDWARE INC,64.12568770914865,88155,64.05849963174693,114052,69.36583767158686,79333,50.92391304347826,36800,25897,-34719,-42533
825,DENALI FD INC,19.352361448867267,117195,20.460158585727285,115395,21.456347272911128,108779,21.709342754075745,107281,-1800,-6616,-1498
826,DENBURY RES INC,16.429970393987702,1646625,16.40006210778516,2273467,18.45980145734166,1898937,15.030912129246357,677404,626842,-374530,-1221533
827,DENDREON CORP,2.989863894791248,1393040,2.9899061556417235,1116423,2.3004204008210607,496431,1.4400000000000002,2081250,-276617,-619992,1584819
828,DENISON MINES CORP,1.201114634380705,41628,1.479928470123944,64868,1.228559841599275,83838,1.138523681292571,101008,23240,18970,17170
829,DENNYS CORP,7.191153436012014,256009,6.4304725098439555,219424,6.517947305609107,163395,7.027937503630133,172170,-36585,-56029,8775
830,DENTSPLY INTL INC NEW,48.47934430166927,666160,46.04037929430398,621259,47.35067430138289,665207,45.599591109392044,651519,-44901,43948,-13688
831,DEPOMED INC,10.580168710798363,321734,14.510278113663846,22329,13.898529435503399,185847,15.189131072231453,102310,-299405,163518,-83537
832,DESTINATION MATERNITY CORP,29.85339323717191,16916,27.42383723978816,19071,22.76165589327465,14542,15.444245676803815,16770,2155,-4529,2228
833,DESTINATION XL GROUP INC,6.5364146158516965,27997,5.637227810323863,45235,5.506695190555424,50484,4.73059653624118,49888,17238,5249,-596
834,DEUTSCHE BANK AG,48.24008254023147,5945222,44.830149970578425,5533352,35.17990224978923,4796716,34.859977217353745,10520288,-411870,-736636,5723572
835,DEVON ENERGY CORP NEW,61.870035697617816,11596292,66.93008998003947,11801284,79.40000438741079,9891939,68.18008705951118,8126625,204992,-1909345,-1765314
836,DEVRY ED GROUP INC,35.50109327001758,149094,42.38772626109621,118171,42.34213638938862,201218,42.808144599303134,183680,-30923,83047,-17538
837,DEX MEDIA INC NEW,6.772182514387497,442398,9.20029876443184,631936,11.139435675346508,617446,9.560794862431084,561355,189538,-14490,-56091
838,DEXCOM INC,35.410545343607104,612953,41.36025504782147,776325,39.65976259098237,655072,39.99077228725043,580859,163372,-121253,-74213
839,DIAGEO P L C,132.42383662537662,119480,124.58656563834265,133032,127.2697615241575,153265,115.397073113277,135844,13552,20233,-17421
840,DIAMOND FOODS INC,25.835533951188324,59453,34.92565876637716,81516,28.17442038998925,13026,28.596255628406663,12659,22063,-68490,-367
841,DIAMOND OFFSHORE DRILLING IN,56.91911584312256,758146,48.76048309376858,682766,49.62983491032899,505180,34.270006469662015,677006,-75380,-177586,171826
842,DIAMOND RESORTS INTL INC,18.460356791506868,1330581,16.950366428290323,1410235,23.270111868598967,1413444,22.760087170540586,1702410,79654,3209,288966
843,DIAMONDBACK ENERGY INC,52.88097588898465,1180954,67.30996346471123,1121929,88.803557975065,123441,74.77350276503118,84990,-59025,-998488,-38451
844,DIAMONDROCK HOSPITALITY CO,11.549988214297741,950304,11.750613199475215,648647,12.820595127275062,467295,12.680607205998902,393672,-301657,-181352,-73623
845,DIANA CONTAINERSHIPS INC,4.0522703273495235,151520,3.8221225367907903,174772,2.532264543057229,114522,2.2534916018132747,114489,23252,-60250,-33
846,DIANA SHIPPING INC,13.287255530772253,104461,12.005102168421582,39983,10.897344420948846,77083,8.948726217349241,49616,-64478,37100,-27467
847,DICKS SPORTING GOODS INC,58.100061350431254,1662580,54.61010727932494,2224753,46.55987326619304,2459328,43.88084478465369,325290,562173,234575,-2134038
848,DIEBOLD INC,33.007891541885876,158144,39.88594757476589,92589,40.176442536957566,83880,35.325783466237795,89538,-65555,-8709,5658
849,DIGI INTL INC,12.119826582370086,1216024,10.149770058306643,1168992,9.419249028030057,1168246,7.500255385039992,1115962,-47032,-746,-52284
850,DIGITAL RIV INC,18.469383398293356,163947,17.427529669325814,126983,15.422025980674471,46881,14.537551316107221,20705,-36964,-80102,-26176
851,DIGITAL RLTY TR INC,49.12008015947971,3526969,53.079827997296725,1978341,58.32030746756711,1808581,62.37983384077825,1811034,-1548628,-169760,2453
852,DIGITALGLOBE INC,41.14639438030071,197733,29.01070385987675,154150,27.79746046142509,141128,28.501939807194923,136096,-43583,-13022,-5032
853,DILLARDS INC,97.20433751270755,59020,92.40218314828415,138882,116.60931941447485,68588,108.97480391476368,28814,79862,-70294,-39774
854,DIME CMNTY BANCSHARES,16.91958932643568,891511,16.980386994866393,934431,15.789896878203713,895446,14.399937158717089,840212,42920,-38985,-55234
855,DINEEQUITY INC,83.5454409342716,40074,78.0349383701339,11277,79.48214737908332,31592,81.60816081608161,19998,-28797,20315,-11594
856,DIODES INC,23.551184433164128,94560,26.111186014111727,22251,28.959748560296827,199173,23.91722957483877,261736,-72309,176922,62563
857,DIRECTV,69.0596671210826,2596740,76.41995322691672,2675898,85.0103305785124,2613600,86.51979168792411,2009101,79158,-62298,-604499
858,DIREXION SHS ETF TR,47.97403185468639,3052047,39.865123610395976,3486155,40.79031593805075,2102754,28.000844560342607,3106942,434108,-1383401,1004188
859,DISCOVER FINL SVCS,55.950233022710144,2259651,58.189916254234745,2154497,61.979731077413156,2060593,64.39031150913931,1774972,-105154,-93904,-285621
860,DISCOVERY COMMUNICATNS NEW,89.02062829122394,2610541,82.32096382815544,2545184,74.17200977088635,2684301,37.548251901780354,7624829,-65357,139117,4940528
861,DISCOVERY LABORATORIES INC N,2.248482274464736,160108,2.145408825114256,100214,1.780016063559598,138201,1.8393801144181332,138090,-59894,37987,-111
862,DISH NETWORK CORP,57.91969616897929,1572453,62.20965178177361,926689,65.08004442949874,392532,64.5800205309877,745215,-645764,-534157,352683
863,DISNEY WALT CO,76.40005368373328,5752208,80.06982848736527,5087322,85.74006233937837,6405582,89.03005352963423,10816999,-664886,1318260,4411417
864,DOLBY LABORATORIES INC,38.560251364930245,128578,44.49577268369215,45892,43.20927716358492,72091,41.79231303302557,96501,-82686,26199,24410
865,DOLLAR GEN CORP NEW,60.32004189004843,9583183,55.47986774886189,8111537,57.35984315296506,4922503,61.10990243167707,3824192,-1471646,-3189034,-1098311
866,DOLLAR TREE INC,56.41948186142633,859384,52.17947762562262,845409,54.46009836510252,1260813,56.069716246181095,1251014,-13975,415404,-9799
867,DOMINION DIAMOND CORP,14.363169409302769,84104,13.413175962354396,103704,14.45543659935854,88548,14.236787321200724,44673,19600,-15156,-43875
868,DOMINION RES INC VA NEW,63.94535730443385,2130788,68.71346324573076,2257316,70.70753555625609,2172965,66.28224059114837,2063509,126528,-84351,-109456
869,DOMINOS PIZZA INC,69.65310745800483,189367,76.97300990775537,146350,73.09041142759386,187056,76.96139233706747,102389,-43017,40706,-84667
870,DOMTAR CORP,94.3499287246373,75061,112.22712729334576,49382,42.851193540364044,345778,35.13088940980106,162962,-25679,296396,-182816
871,DONALDSON INC,43.46102127366136,522054,42.40161640558775,344468,42.31870672064533,398429,40.631117851113466,378503,-177586,53961,-19926
872,DONNELLEY R R & SONS CO,20.279841315903454,2322602,17.90003547656438,2015415,16.9600375146016,2141033,16.460047862510258,1761295,-307187,125618,-379738
873,DORMAN PRODUCTS INC,56.033372185755475,81505,59.01804730411389,17842,49.30509596293845,12088,40.04918320744774,5693,-63663,-5754,-6395
874,DOT HILL SYS CORP,3.371235929375465,17501,3.8626017381707816,43494,4.699563611950318,74475,3.7620385232744784,19936,25993,30981,-54539
875,DOUGLAS EMMETT INC,23.28957964066809,901562,27.13995480174401,1095175,28.220353772424012,1117385,25.670322187948127,1550896,193613,22210,433511
876,DOVER CORP,96.53989353064316,677378,81.74979279736921,598448,90.95102709419895,531110,80.32802118663756,430460,-78930,-67338,-100650
877,DOW CHEM CO,44.4001716973542,13349070,48.59001211771032,14953320,51.45992558682425,7419385,52.43995795210689,4753627,1604250,-7533935,-2665758
878,DR PEPPER SNAPPLE GROUP INC,48.72149713066883,472584,54.45834553747019,573576,58.57970723134732,885409,64.30998148596368,789131,100992,311833,-96278
879,DR REDDYS LABS LTD,41.02926521326563,251869,43.899955292831955,241572,43.1405673788088,48539,52.56172020175206,30136,-10297,-193033,-18403
880,DREAMWORKS ANIMATION SKG INC,35.500192201801504,96253,26.5489813005861,143320,23.253363592154322,123380,27.26831878855557,517597,47067,-19940,394217
881,DRESSER-RAND GROUP INC,59.62983616134258,188295,58.415130476418476,116956,63.73196972968419,189889,82.26007222931517,813797,-71339,72933,623908
882,DREW INDS INC,51.202030247950894,58318,54.19708029197081,27400,50.00543537341015,27597,42.18388386282348,19012,-30918,197,-8585
883,DRIL-QUIP INC,109.92999992121885,1650141,112.09979826710381,1604597,109.23999212907492,1941322,89.39989383572754,1942273,-45544,336725,951
884,DRYSHIPS INC,4.718140266378336,20347,3.2300913861810154,1377670,3.2198352278652616,1150680,2.4698644082800953,677770,1357323,-226990,-472910
885,DSP GROUP INC,9.70980911397992,126882,8.646633770757267,65459,8.486756553281774,58444,8.876361217129451,57118,-61423,-7015,-1326
886,DST SYS INC DEL,90.74389734023735,62186,94.7902933421226,97088,92.16281177351351,101516,83.92121681686582,122615,34902,4428,21099
887,DSW INC,42.73252462628256,78067,35.85708837243636,162562,27.940481475646955,209481,30.10946101830309,358027,84495,46919,148546
888,DTE ENERGY CO,66.3905573332743,587207,74.28905701112964,663274,77.8696270993453,878250,76.08109149772605,596758,76067,214976,-281492
889,DTF TAX-FREE INCOME INC,14.012143858010276,19269,14.792289454695391,19402,16.29001396286911,19337,15.050080440085113,19269,133,-65,-68
890,DU PONT E I DE NEMOURS & CO,64.96998165818235,5607405,67.09997792039799,4452073,65.43998984266149,4489365,71.75990101754847,3787338,-1155332,37292,-702027
891,DUCOMMUN INC DEL,29.820032177199092,80181,25.05146568471107,34489,26.14318706697459,21650,27.397260273972602,21754,-45692,-12839,104
892,DUKE ENERGY CORP NEW,69.0103764018166,2813403,71.22003953759706,2310712,74.19013835591865,2447239,74.7697881385926,1864804,-502691,136527,-582435
893,DUKE REALTY CORP,15.040018557469766,4983438,16.880036340861334,4765985,18.16003716956534,4614528,17.180044767945727,4702025,-217453,-151457,87497
894,DUN & BRADSTREET CORP DEL NE,122.74888388137423,331058,99.35098627969684,587815,110.19988323927609,1079130,117.47003874297177,1305269,256757,491315,226139
895,DUNKIN BRANDS GROUP INC,48.19200407435702,78540,50.18019087786364,698981,45.80992610053424,1162390,44.81909524034153,529975,620441,463409,-632415
896,DUPONT FABROS TECHNOLOGY INC,24.709918972500983,1859739,24.06979837829083,2055979,26.96019492191204,3364219,27.04022184598238,3099087,196240,1308240,-265132
897,DURECT CORP,1.74293319812397,31556,1.3357079252003563,29198,1.8252253594576475,26846,1.4752950590118024,39992,-2358,-2352,13146
898,DXP ENTERPRISES INC NEW,115.20226351609695,26154,94.93331745653728,33592,75.61290322580646,7750,73.52477122120544,3169,7438,-25842,-4581
899,DYAX CORP,7.535101347295041,274847,8.979136562983244,591705,9.599770009557034,514804,10.121113247707518,535119,316858,-76901,20315
900,DYCOM INDS INC,27.787190782785498,103285,31.60333321807683,28921,31.293094303596053,28281,30.722475480038682,36195,-74364,-640,7914
901,DYNAGAS LNG PARTNERS LP,22.549833364773946,1590300,21.67001902690949,1839500,24.249969660792623,2991179,23.60998733089883,3128083,249200,1151679,136904
902,DYNAVAX TECHNOLOGIES CORP,1.96240446188804,261414,1.8083182640144664,141015,1.5852001532940807,57406,1.43130059124189,496751,-120399,-83609,439345
903,DYNEGY INC NEW DEL,8.393240780737314,349567,12.217778226990289,415542,30.666416964195214,1489773,25.991013129647264,1796621,65975,1074231,306848
904,E HOUSE CHINA HLDGS LTD,15.078796878176405,339417,12.08935901833431,451885,8.65720442892175,53828,9.52653138992093,73479,112468,-398057,19651
905,E M C CORP MASS,25.15000923560115,46548134,27.41001289748877,52206287,26.340007050878658,51454580,29.260012125453287,36602343,5658153,-751707,-14852237
906,E TRADE FINANCIAL CORP,19.63998766413998,3326886,23.019829572425074,2709186,21.259999733784124,2253810,22.591094000501684,916910,-617700,-455376,-1336900
907,E-COMMERCE CHINA DANGDANG IN,9.547034281401118,120561,14.351453005820426,47591,13.378415786767905,252870,12.199886571302537,396725,-72970,205279,143855
908,EAGLE BANCORP INC MD,30.628949557258444,869243,36.10050829330797,778881,33.75033816142547,683845,31.820041022352534,667441,-90362,-95036,-16404
909,EAGLE BULK SHIPPING INC,4.572961078256086,29084,3.9933444259567383,123205,3.087589028640703,52792,0.9199279389781134,52178,94121,-70413,-614
910,EAGLE MATERIALS INC,77.42822772966773,284302,88.65967064258548,251095,94.28689607860942,99123,101.8293081770148,137593,-33207,-151972,38470
911,EAGLE ROCK ENERGY PARTNERS L,5.953624399415082,28722,5.257003301149711,96633,4.9796456578753405,617313,3.5469160256114973,21709,67911,520680,-595604
912,EAST WEST BANCORP INC,34.97039132586884,276777,36.499850338989454,344111,34.99026306234941,302970,33.998355086219156,288161,67334,-41141,-14809
913,EASTGROUP PPTY INC,57.92809608294475,151619,62.88956787429071,57275,64.21627422511207,63364,60.58878038349135,56116,-94344,6089,-7248
914,EASTMAN CHEM CO,80.69990520745378,3128938,86.2100441498819,2415635,87.35012013984198,1525722,80.88979654402677,1252556,-713303,-889913,-273166
915,EASTMAN KODAK CO,34.69091464812409,13087,33.38781228111137,38547,24.468417761100692,63960,21.95701291929784,34522,25460,25413,-29438
916,EATON CORP PLC,76.11950862780157,1681251,75.11996903330176,1671473,77.17927424483959,1707518,63.36972918732705,1191894,-9778,36045,-515624
917,EATON VANCE CORP,42.789559271348956,420009,38.16165283487876,326663,37.79031721280518,267423,37.72946473769749,375330,-93346,-59240,107907
918,EATON VANCE NEW YORK MUN BD,11.330628173573695,45099,11.995831393157275,45099,12.505820528171355,45099,12.328433002949069,45099,0,0,0
919,EATON VANCE TAX ADVT DIV INC,19.005065919889244,31781,19.6485451487062,27941,20.682628629648498,19630,20.18981108425105,22338,-3840,-8311,2708
920,EATON VANCE TX MNG BY WRT OP,14.00452993906913,31347,14.183901621017327,28624,14.765200014802206,27023,14.8298144784253,33581,-2723,-1601,6558
921,EBAY INC,54.865008570626486,16001164,55.23997920990115,18643490,50.06006415655738,18685853,56.62996934920905,14906630,2642326,42363,-3779223
922,EBIX INC,14.704516033125422,161447,17.07019682982059,149266,14.3135440876714,132951,14.180806575348127,387143,-12181,-16315,254192
923,ECHELON CORP,2.150933413082736,86939,2.782426778242678,95600,2.4331174317093778,88775,2.0362101957705705,81524,8661,-6825,-7251
924,ECHOSTAR CORP,49.719861020295646,233991,47.560171077492,445646,52.94081893145856,345499,48.75653692406746,215889,211655,-100147,-129610
925,ECOLAB INC,104.26998799715794,1408833,107.98948824727648,1438390,111.33974296306879,1063816,114.82924766263386,794484,29557,-374574,-269332
926,ECOPETROL S A,38.445818555776775,75847,40.7898618417818,650848,36.04861305006745,719889,31.27046827246889,841241,575001,69041,121352
927,EDISON INTL,46.300116282384494,5717977,56.60999271543659,4174581,58.10993995116599,4272023,55.91968922555512,1826405,-1543396,97442,-2445618
928,EDUCATION MGMT CORP NEW,10.090004428654463,54368658,4.8699932965054975,54368658,1.6899994110577456,54368658,1.0900029940043765,54368658,0,0,0
929,EDUCATION RLTY TR INC,8.8212232096184,168344,9.86819115776526,286172,10.738258490925666,388238,10.278650457587762,263556,117828,102066,-124682
930,EDWARDS LIFESCIENCES CORP,65.75925902169314,311804,74.16734516122925,264065,85.84092999916366,239140,102.14945895697069,224289,-47739,-24925,-14851
931,EGAIN CORP,10.261641862698033,16664,7.0747764567161235,10177,6.777296058205013,40134,6.011906507522213,34099,-6487,29957,-6035
932,EHEALTH INC,46.49971695824461,37097,50.712489522212906,4772,37.94057675502477,13732,24.11420963088986,13519,-32325,8960,-213
933,EL PASO ELEC CO,35.110138890495506,1642517,35.730086836540345,1600248,40.20989864315081,1628405,36.550130732926604,1216220,-42269,28157,-412185
934,EL PASO PIPELINE PARTNERS L,36.000095214461005,3654907,30.390060189900204,796313,36.22996743864621,2128597,40.15981952264001,2439752,-2858594,1332284,311155
935,ELBIT SYS LTD,60.70258463778667,65928,60.932370321733416,15230,61.50310894836442,14796,62.11395655493094,28818,-50698,-434,14022
936,ELDORADO GOLD CORP NEW,5.690186722673082,1187483,5.5803277826006905,1520520,7.6404487615698224,1328456,6.739909155882634,933247,333037,-192064,-395209
937,ELECTRO RENT CORP,18.517448578691933,69232,17.586620668966553,53336,16.741092636579573,52625,13.770056644467092,42193,-15896,-711,-10432
938,ELECTRO SCIENTIFIC INDS,10.45324756309692,60938,9.835561702781618,26028,6.791995148574894,16490,6.791135780665237,47562,-34910,-9538,31072
